SL NO.	JE NAME	Block	Scheme ID	SCHEME NAME	LOA Number
56	Pawan chutuvedi	Pathardeva	20058004	Pakri	1027/ED/Phase-3/2023-24/XIV/58
57	Pawan chutuvedi	Pathardeva	20044027	Pipradaud	1016/ED/Phase-3/2023-24/XII/37
58	Chandra mohan 	Tarkulwa	20033127	Piprahiya	1016/ED/Phase-3/2023-24/XII/32
59	Chandra mohan 	Baitalpur	8359297	Rampur Gunariya 	1027/ED/Phase-3/2023-24/XIV/48
60	Chandra mohan 	Tarkulwa	20101932	Rampur Jagdishpur Urf Brindaba	1016/ED/Phase-3/2023-24/XII/47
61	Pawan chutuvedi	Pathardeva	20101933	Sakatui	1016/ED/Phase-3/2023-24/XII/44
62	Richa Mishra	Gauri Bazar	8359992	Sauna Parsuram	1027/ED/Phase-3/2023-24/XIV/49
63	Pawan chutuvedi	Desai Deoria	20043225	Semari	1016/ED/Phase-3/2023-24/XII/25
64	Pawan chutuvedi	Pathardeva	8359398	Semri	1016/ED/Phase-3/2023-24/XII/2
65	Pawan chutuvedi	Pathardeva	20033313	Shahpur Shukla	1016/ED/Phase-3/2023-24/XII/26
66	Mohd. Aftab 	Rampur Karkhana	20033323	Shamipatti	1016/ED/Phase-3/2023-24/XII/14
67	Pawan chutuvedi	Desai Deoria	20033570	Shampur	1016/ED/Phase-3/2023-24/XII/16
68	Chandra mohan 	Tarkulwa	20026562	Sirsiapatti Husen	1016/ED/Phase-3/2023-24/XII/30
69	Pawan chutuvedi	Pathardeva	20101934	Sitapatti	1016/ED/Phase-3/2023-24/XII/46
70	Chandra mohan 	Baitalpur	20033567	Tenduhi	1027/ED/Phase-3/2023-24/XIV/57
71	Chandra mohan 	Baitalpur	20058113	Tiwai	1054/ED/Phase-3/2023-24/XIV/69
72	Chandra mohan 	Baitalpur	8360034	Udhopur	1027/ED/Phase-3/2023-24/XIV/50
73	Chandra mohan 	Deoria Sadar	20099679	Vishnupura	1027/ED/Phase-3/2023-24/XIV/72
74	Chandra mohan 	Baitalpur	20033568	Vishunpur Murar	1027/ED/Phase-3/2023-24/XIV/59
